Labels,F3-1500-450=EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1401.000,9.29701270E+3,
1402.000,9.35867676E+3,
1403.000,9.12451758E+3,
1404.000,9.46858105E+3,
1405.000,9.70805664E+3,
1406.000,9.72501465E+3,
1407.000,9.78439941E+3,
1408.000,9.91470703E+3,
1409.000,1.00409395E+4,
1410.00,1.02022354E+4,
1411.000,1.00524766E+4,
1412.000,1.02240527E+4,
1413.000,1.03545605E+4,
1414.000,1.03964941E+4,
1415.000,1.05681816E+4,
1416.000,1.04290049E+4,
1417.000,1.08024199E+4,
1418.000,1.10090039E+4,
1419.000,1.11051436E+4,
1420.00,1.11902705E+4,
1421.000,1.12008203E+4,
1422.000,1.12603994E+4,
1423.000,1.14834951E+4,
1424.000,1.16191631E+4,
1425.000,1.15238359E+4,
1426.000,1.16662598E+4,
1427.000,1.18615186E+4,
1428.000,1.19053086E+4,
1429.000,1.21378838E+4,
1430.00,1.21514189E+4,
1431.000,1.22629863E+4,
1432.000,1.24726436E+4,
1433.000,1.25249600E+4,
1434.000,1.25580117E+4,
1435.000,1.27979893E+4,
1436.000,1.27144854E+4,
1437.000,1.28556299E+4,
1438.000,1.31361826E+4,
1439.000,1.32247695E+4,
1440.00,1.32539277E+4,
1441.000,1.33717061E+4,
1442.000,1.33953105E+4,
1443.000,1.35281836E+4,
1444.000,1.36884238E+4,
1445.000,1.37084375E+4,
1446.000,1.38678447E+4,
1447.000,1.39344102E+4,
1448.000,1.38869316E+4,
1449.000,1.40841768E+4,
1450.00,1.42091523E+4,
1451.000,1.41480918E+4,
1452.000,1.43360996E+4,
1453.000,1.44789580E+4,
1454.000,1.45002090E+4,
1455.000,1.46095830E+4,
1456.000,1.47035029E+4,
1457.000,1.48152256E+4,
1458.000,1.49539775E+4,
1459.000,1.50353896E+4,
1460.00,1.51819561E+4,
1461.000,1.51495889E+4,
1462.000,1.53210361E+4,
1463.000,1.53149248E+4,
1464.000,1.53268721E+4,
1465.000,1.52806699E+4,
1466.000,1.56420449E+4,
1467.000,1.56671221E+4,
1468.000,1.58093584E+4,
1469.000,1.57516680E+4,
1470.00,1.59099063E+4,
1471.000,1.61119346E+4,
1472.000,1.61039961E+4,
1473.000,1.62980156E+4,
1474.000,1.63133506E+4,
1475.000,1.63051143E+4,
1476.000,1.63595410E+4,
1477.000,1.64496094E+4,
1478.000,1.66461816E+4,
1479.000,1.65725957E+4,
1480.00,1.68765000E+4,
1481.000,1.66672871E+4,
1482.000,1.68693125E+4,
1483.000,1.69940234E+4,
1484.000,1.70551758E+4,
1485.000,1.69890996E+4,
1486.000,1.71359121E+4,
1487.000,1.71963262E+4,
